,genes
3266,DPPA4
3267,DPPA5
3268,DPT
3269,DPY19L1
3270,DPY19L2
3271,DPY19L3
3272,DPY19L4
3273,DPY30
3274,DPYD
3275,DPYSL2
3276,DPYSL3
3277,DPYSL4
3278,DPYSL5
3279,DQX1
3280,DR1
3281,DRAM1
3282,DRAM2
3283,DRAP1
3284,DRD1
3285,DRD2
3286,DRD3
3287,DRD5
3288,DRG1
3289,DRG2
3290,DROSHA
3291,DRP2
3292,DSC1
3293,DSC2
3294,DSC3
3295,DSCAM
3296,DSCAML1
3297,DSCC1
3298,DSE
3299,DSEL
3300,DSG1
3301,DSG2
3302,DSG3
3303,DSG4
3304,DSN1
3305,DSP
3306,DSPP
3307,DST
3308,DSTN
3309,DSTYK
3310,DTD1
3311,DTHD1
3312,DTL
3313,DTNA
3314,DTNB
3315,DTNBP1
3316,DTWD2
3317,DTX1
3318,DTX2
3319,DTX3
3320,DTX3L
3321,DTX4
3322,DTYMK
3323,DUOX1
3324,DUOX2
3325,DUOXA1
3326,DUOXA2
3327,DUS1L
3328,DUS3L
3329,DUS4L
3330,DUSP1
3331,DUSP10
3332,DUSP11
3333,DUSP12
3334,DUSP13
3335,DUSP15
3336,DUSP16
3337,DUSP18
3338,DUSP19
3339,DUSP2
3340,DUSP21
3341,DUSP22
3342,DUSP23
3343,DUSP26
3344,DUSP28
3345,DUSP3
3346,DUSP4
3347,DUSP5
3348,DUSP6
3349,DUSP7
3350,DUSP8
3351,DUSP9
3352,DUT
3353,DVL2
3354,DYDC1
3355,DYDC2
3356,DYM
3357,DYNC1H1
3358,DYNC1I1
3359,DYNC1LI1
3360,DYNC1LI2
3361,DYNC2H1
3362,DYNC2LI1
3363,DYNLL1
3364,DYNLRB1
3365,DYNLRB2
3366,DYNLT1
3367,DYNLT3
3368,DYRK1A
3369,DYRK1B
3370,DYRK2
3371,DYRK3
3372,DYSF
3373,DZANK1
3374,DZIP1
3375,DZIP1L
3376,DZIP3
3377,E2F1
3378,E2F2
3379,E2F3
3380,E2F4
3381,E2F5
3382,E2F6
3383,E2F7
3384,E2F8
3385,E4F1
3386,EAF1
3387,EAF2
3388,EAPP
3389,EARS2
3390,EBAG9
3391,EBF1
3392,EBF2
3393,EBF4
3394,EBI3
3395,EBNA1BP2
3396,EBP
3397,EBPL
3398,ECE1
3399,ECEL1
3400,ECH1
3401,ECHDC1
3402,ECHDC2
3403,ECHDC3
3404,ECHS1
3405,ECI1
3406,ECI2
3407,ECM1
3408,ECM2
3409,ECSCR
3410,ECSIT
3411,ECT2
3412,EDA
3413,EDAR
3414,EDARADD
3415,EDC3
3416,EDC4
3417,EDDM3A
3418,EDDM3B
3419,EDEM1
3420,EDEM2
3421,EDEM3
3422,EDF1
3423,EDIL3
3424,EDN1
3425,EDN2
3426,EDN3
3427,EDNRA
3428,EDNRB
3429,EEA1
3430,EED
3431,EEF1A2
3432,EEF1D
3433,EEF2
3434,EEF2K
3435,EEFSEC
3436,EEPD1
3437,EFCAB1
3438,EFCAB2
3439,EFCAB3
3440,EFCAB5
3441,EFCAB6
3442,EFCAB7
3443,EFEMP1
3444,EFEMP2
3445,EFHB
3446,EFHC1
3447,EFHC2
3448,EFHD1
3449,EFHD2
3450,EFNA1
3451,EFNA3
3452,EFNA5
3453,EFNB1
3454,EFNB2
3455,EFNB3
3456,EFR3A
3457,EFR3B
3458,EFS
3459,EFTUD2
3460,EGF
3461,EGFL6
3462,EGFL7
3463,EGFLAM
3464,EGFR
3465,EGLN1
3466,EGLN3
3467,EGR1
3468,EGR2
3469,EGR3
3470,EGR4
3471,EHBP1
3472,EHBP1L1
3473,EHD1
3474,EHD2
3475,EHD3
3476,EHD4
3477,EHF
3478,EHHADH
3479,EHMT1
3480,EHMT2
3481,EI24
3482,EID2
3483,EID2B
3484,EIF1
3485,EIF1AD
3486,EIF1AX
3487,EIF1AY
3488,EIF1B
3489,EIF2A
3490,EIF2AK1
3491,EIF2AK2
3492,EIF2AK3
3493,EIF2AK4
3494,EIF2B1
3495,EIF2B2
3496,EIF2B3
3497,EIF2B4
3498,EIF2B5
3499,EIF2D
3500,EIF2S1
3501,EIF2S2
3502,EIF2S3
3503,EIF3A
3504,EIF3B
3505,EIF3D
3506,EIF3E
3507,EIF3F
3508,EIF3G
3509,EIF3H
3510,EIF3I
3511,EIF3J
3512,EIF3K
3513,EIF3L
3514,EIF3M
3515,EIF4A2
3516,EIF4A3
3517,EIF4B
3518,EIF4E2
3519,EIF4E3
3520,EIF4EBP1
3521,EIF4EBP2
3522,EIF4ENIF1
3523,EIF4G2
3524,EIF4G3
3525,EIF4H
3526,EIF5
3527,EIF5A
3528,EIF5A2
3529,EIF5B
3530,ELAC2
3531,ELANE
3532,ELAVL1
3533,ELAVL2
3534,ELAVL3
3535,ELAVL4
3536,ELF1
3537,ELF2
3538,ELF3
3539,ELF4
3540,ELF5
3541,ELFN1
3542,ELK1
3543,ELK3
3544,ELK4
3545,ELL
3546,ELL2
3547,ELMO1
3548,ELMO2
3549,ELMO3
3550,ELMOD1
3551,ELMOD2
3552,ELMOD3
3553,ELN
3554,ELOF1
3555,ELOVL1
3556,ELOVL2
3557,ELOVL4
3558,ELOVL6
3559,ELOVL7
3560,ELP3
3561,ELP4
3562,ELSPBP1
3563,EMB
3564,EMCN
3565,EMD
3566,EME1
3567,EMID1
3568,EMILIN1
3569,EMILIN2
3570,EMILIN3
3571,EML1
3572,EML2
3573,EML3
3574,EML4
3575,EML5
3576,EML6
3577,EMP1
3578,EMP2
3579,EMP3
3580,EMX1
3581,EMX2
3582,EN1
3583,EN2
3584,ENAH
3585,ENAM
3586,ENC1
3587,ENDOD1
3588,ENDOG
3589,ENDOU
3590,ENDOV
3591,ENG
3592,ENGASE
3593,ENHO
3594,ENKUR
3595,ENO1
3596,ENO2
3597,ENO3
3598,ENOPH1
3599,ENOSF1
3600,ENOX1
3601,ENOX2
3602,ENPEP
3603,ENPP1
3604,ENPP3
3605,ENPP4
3606,ENPP5
3607,ENPP6
3608,ENPP7
3609,ENTHD1
3610,ENTPD2
3611,ENTPD3
3612,ENTPD4
3613,ENTPD5
3614,ENTPD6
3615,ENY2
3616,EOMES
3617,EP300
3618,EP400
3619,EPAS1
3620,EPB41
3621,EPB41L1
3622,EPB41L2
3623,EPB41L3
3624,EPB41L4A
3625,EPB41L4B
3626,EPB41L5
3627,EPB42
3628,EPC1
3629,EPC2
3630,EPCAM
3631,EPDR1
3632,EPG5
3633,EPHA1
3634,EPHA10
3635,EPHA2
3636,EPHA3
3637,EPHA4
3638,EPHA5
3639,EPHA6
3640,EPHA7
3641,EPHA8
3642,EPHB1
3643,EPHB2
3644,EPHB4
3645,EPHB6
3646,EPHX1
3647,EPHX2
3648,EPHX3
3649,EPHX4
3650,EPM2A
3651,EPM2AIP1
3652,EPN2
3653,EPN3
3654,EPO
3655,EPOR
3656,EPS15
3657,EPS15L1
3658,EPS8
3659,EPS8L1
3660,EPS8L2
3661,EPS8L3
3662,EPSTI1
3663,EPX
3664,EPYC
3665,ERAL1
3666,ERAP1
3667,ERAP2
3668,ERBB2
3669,ERBB3
3670,ERBB4
3671,ERC1
3672,ERC2
3673,ERCC1
3674,ERCC2
3675,ERCC3
3676,ERCC4
3677,ERCC5
3678,ERCC6L
3679,ERCC8
3680,EREG
3681,ERF
3682,ERG
3683,ERGIC1
3684,ERGIC2
3685,ERGIC3
3686,ERH
3687,ERI1
3688,ERI2
3689,ERI3
3690,ERICH1
3691,ERLEC1
3692,ERLIN1
3693,ERLIN2
3694,ERMAP
3695,ERMN
3696,ERMP1
3697,ERN1
3698,ERN2
3699,ERP27
3700,ERP29
3701,ERP44
3702,ERRFI1
3703,ERVFRD-1
3704,ERVW-1
3705,ESAM
3706,ESCO1
3707,ESCO2
3708,ESD
3709,ESF1
3710,ESM1
3711,ESPL1
3712,ESPN
3713,ESPNL
3714,ESR1
3715,ESR2
3716,ESRP1
3717,ESRP2
3718,ESRRA
3719,ESRRB
3720,ESRRG
3721,ESX1
3722,ESYT1
3723,ESYT2
3724,ESYT3
3725,ETAA1
3726,ETF1
3727,ETFA
3728,ETFB
3729,ETFDH
3730,ETHE1
3731,ETNK1
3732,ETNK2
3733,ETS1
3734,ETS2
3735,ETV1
3736,ETV2
3737,ETV3
3738,ETV4
3739,ETV5
3740,ETV6
3741,ETV7
3742,EVC
3743,EVC2
3744,EVI2A
3745,EVI2B
3746,EVI5
3747,EVI5L
3748,EVL
3749,EVPL
3750,EVX1
3751,EWSR1
3752,EXD1
3753,EXD2
3754,EXD3
3755,EXO1
3756,EXOC1
3757,EXOC2
3758,EXOC3
3759,EXOC3L1
3760,EXOC3L4
3761,EXOC4
3762,EXOC5
3763,EXOC6
3764,EXOC6B
3765,EXOC7
3766,EXOC8
3767,EXOG
3768,EXOSC1
3769,EXOSC10
3770,EXOSC2
3771,EXOSC4
3772,EXOSC5
3773,EXOSC6
3774,EXOSC7
3775,EXOSC8
3776,EXOSC9
3777,EXPH5
3778,EXT1
3779,EXT2
3780,EXTL1
3781,EXTL2
3782,EXTL3
3783,EYA1
3784,EYA2
3785,EYA3
3786,EYA4
3787,EYS
3788,EZH1
3789,EZH2
3790,EZR
3791,F10
3792,F11
3793,F11R
3794,F12
3795,F13A1
3796,F13B
3797,F2
3798,F2R
3799,F2RL1
3800,F2RL2
3801,F2RL3
3802,F3
3803,F5
3804,F7
3805,F8
3806,F9
3807,FA2H
3808,FAAH
3809,FAAH2
3810,FABP1
3811,FABP2
3812,FABP3
3813,FABP4
3814,FABP6
3815,FABP7
3816,FADD
3817,FADS1
3818,FADS2
3819,FADS3
3820,FAF1
3821,FAF2
3822,FAH
3823,FAHD1
3824,FAHD2A
3825,FAIM
3826,FAIM2
3827,FAM102A
3828,FAM102B
3829,FAM104B
3830,FAM107A
3831,FAM107B
3832,FAM110A
3833,FAM110B
3834,FAM110C
3835,FAM110D
3836,FAM111A
3837,FAM111B
3838,FAM114A1
3839,FAM114A2
3840,FAM117A
3841,FAM117B
3842,FAM118A
3843,FAM118B
3844,FAM120A
3845,FAM120AOS
3846,FAM120B
3847,FAM120C
3848,FAM122C
3849,FAM124B
3850,FAM126A
3851,FAM126B
3852,FAM131B
3853,FAM131C
3854,FAM133A
3855,FAM135A
3856,FAM135B
3857,FAM13A
3858,FAM13B
3859,FAM13C
3860,FAM149A
3861,FAM149B1
3862,FAM151A
3863,FAM155A
3864,FAM155B
3865,FAM160A1
3866,FAM160A2
3867,FAM160B1
3868,FAM162A
3869,FAM163A
3870,FAM163B
3871,FAM166A
3872,FAM166B
3873,FAM167A
3874,FAM167B
3875,FAM168A
3876,FAM168B
3877,FAM169A
3878,FAM170A
3879,FAM171A1
3880,FAM171A2
3881,FAM171B
3882,FAM172A
3883,FAM174A
3884,FAM174B
3885,FAM177A1
3886,FAM178B
3887,FAM181A
3888,FAM184A
3889,FAM184B
3890,FAM185A
3891,FAM186A
3892,FAM186B
3893,FAM189A1
3894,FAM189A2
3895,FAM189B
3896,FAM193A
3897,FAM193B
3898,FAM199X
3899,FAM200A
3900,FAM204A
3901,FAM205A
3902,FAM20A
3903,FAM20B
3904,FAM210A
3905,FAM210B
3906,FAM214A
3907,FAM214B
3908,FAM216A
3909,FAM216B
3910,FAM217B
3911,FAM32A
3912,FAM3A
3913,FAM3B
3914,FAM3D
3915,FAM43A
3916,FAM43B
3917,FAM47A
3918,FAM47B
3919,FAM50A
3920,FAM53A
3921,FAM53C
3922,FAM71A
3923,FAM71B
3924,FAM71C
3925,FAM71D
3926,FAM71E2
3927,FAM71F1
3928,FAM71F2
3929,FAM76B
3930,FAM78A
3931,FAM78B
3932,FAM81A
3933,FAM81B
3934,FAM83A
3935,FAM83B
3936,FAM83C
3937,FAM83D
3938,FAM83E
3939,FAM83F
3940,FAM83G
3941,FAM83H
3942,FAM89A
3943,FAM89B
3944,FAM8A1
3945,FAM91A1
3946,FAM98A
3947,FAM98B
3948,FAM98C
3949,FAM9A
3950,FAM9B
3951,FAM9C
3952,FAN1
3953,FANCA
3954,FANCB
3955,FANCC
3956,FANCD2
3957,FANCE
3958,FANCF
3959,FANCG
3960,FANCI
3961,FANCL
3962,FANCM
3963,FANK1
3964,FAP
3965,FAR1
3966,FAR2
3967,FARP1
3968,FARP2
3969,FARS2
3970,FARSA
3971,FARSB
3972,FAS
3973,FASLG
3974,FASN
3975,FASTK
3976,FASTKD1
3977,FASTKD2
3978,FASTKD3
3979,FAT1
3980,FAT2
3981,FAT3
3982,FAT4
3983,FATE1
3984,FAU
3985,FAXC
3986,FBF1
3987,FBL
3988,FBLIM1
3989,FBLN1
3990,FBLN2
3991,FBLN5
3992,FBLN7
3993,FBN1
3994,FBN2
3995,FBN3
3996,FBP1
3997,FBP2
3998,FBRS
3999,FBRSL1
4000,FBXL12
4001,FBXL13
4002,FBXL14
4003,FBXL15
4004,FBXL16
4005,FBXL17
4006,FBXL18
4007,FBXL19
4008,FBXL2
4009,FBXL20
4010,FBXL22
4011,FBXL3
4012,FBXL4
4013,FBXL5
4014,FBXL6
4015,FBXL7
4016,FBXL8
4017,FBXO10
4018,FBXO11
4019,FBXO15
4020,FBXO16
4021,FBXO2
4022,FBXO21
4023,FBXO22
4024,FBXO24
4025,FBXO25
4026,FBXO27
4027,FBXO28
4028,FBXO3
4029,FBXO30
4030,FBXO32
4031,FBXO33
4032,FBXO34
4033,FBXO36
4034,FBXO38
4035,FBXO39
4036,FBXO4
4037,FBXO40
4038,FBXO41
4039,FBXO42
4040,FBXO43
4041,FBXO44
4042,FBXO45
4043,FBXO46
4044,FBXO5
4045,FBXO6
4046,FBXO7
4047,FBXO8
4048,FBXO9
4049,FBXW11
4050,FBXW12
4051,FBXW2
4052,FBXW4
4053,FBXW5
4054,FBXW7
4055,FBXW8
4056,FCAMR
4057,FCAR
4058,FCER1A
4059,FCER1G
4060,FCER2
4061,FCF1
4062,FCGR2A
4063,FCGRT
4064,FCHO1
4065,FCHO2
4066,FCHSD2
4067,FCN1
4068,FCN2
4069,FCN3
4070,FCRL1
4071,FCRL2
4072,FCRL3
4073,FCRL4
4074,FCRL5
4075,FCRLA
4076,FCRLB
4077,FDCSP
4078,FDFT1
4079,FDPS
4080,FDX1
4081,FDXR
4082,FECH
4083,FEM1A
4084,FEM1B
4085,FEM1C
4086,FER
4087,FERD3L
4088,FERMT1
4089,FERMT2
4090,FERMT3
4091,FES
4092,FETUB
4093,FEV
4094,FEZ1
4095,FEZF2
4096,FFAR1
4097,FFAR2
4098,FGA
4099,FGB
4100,FGD1
4101,FGD2
4102,FGD3
4103,FGD4
4104,FGD5
4105,FGD6
4106,FGF1
4107,FGF10
4108,FGF11
4109,FGF12
4110,FGF13
4111,FGF14
4112,FGF16
4113,FGF17
4114,FGF18
4115,FGF19
4116,FGF2
4117,FGF20
4118,FGF21
4119,FGF22
4120,FGF23
4121,FGF3
4122,FGF4
4123,FGF5
4124,FGF6
4125,FGF7
4126,FGF8
4127,FGF9
4128,FGFBP1
4129,FGFBP2
4130,FGFBP3
4131,FGFR1
4132,FGFR1OP2
4133,FGFR2
4134,FGFR3
4135,FGFR4
4136,FGFRL1
4137,FGG
4138,FGGY
4139,FGL1
4140,FGL2
4141,FGR
4142,FH
4143,FHAD1
4144,FHDC1
4145,FHIT
4146,FHL1
4147,FHL2
4148,FHL3
4149,FHL5
4150,FHOD1
4151,FHOD3
4152,FIBCD1
4153,FIBIN
4154,FIBP
4155,FICD
4156,FIG4
4157,FIGLA
4158,FIGN
4159,FIGNL1
4160,FILIP1
4161,FILIP1L
4162,FIP1L1
4163,FIS1
4164,FITM1
4165,FITM2
4166,FIZ1
4167,FJX1
4168,FKBP10
4169,FKBP14
4170,FKBP15
4171,FKBP1A
4172,FKBP1B
4173,FKBP2
4174,FKBP3
4175,FKBP4
4176,FKBP5
4177,FKBP6
4178,FKBP8
4179,FKBPL
4180,FKRP
4181,FKTN
4182,FLAD1
4183,FLG
4184,FLG2
4185,FLI1
4186,FLII
4187,FLNA
4188,FLNB
4189,FLNC
4190,FLOT1
4191,FLOT2
4192,FLRT1
4193,FLRT2
4194,FLRT3
4195,FLT1
4196,FLT3
4197,FLT3LG
4198,FLT4
4199,FLVCR1
4200,FLYWCH1
4201,FLYWCH2
4202,FMN1
4203,FMN2
4204,FMNL2
4205,FMNL3
4206,FMO1
4207,FMO2
4208,FMO3
4209,FMO4
4210,FMO5
4211,FMOD
4212,FMR1
4213,FMR1NB
4214,FN3K
4215,FN3KRP
4216,FNBP1
4217,FNBP1L
4218,FNBP4
4219,FNDC1
4220,FNDC3A
4221,FNDC3B
4222,FNDC4
4223,FNDC5
4224,FNDC7
4225,FNDC8
4226,FNIP1
4227,FNIP2
4228,FNTA
4229,FOLH1
4230,FOLR1
4231,FOLR2
4232,FOS
4233,FOSB
4234,FOSL1
4235,FOSL2
4236,FOXA1
4237,FOXA2
4238,FOXA3
4239,FOXB1
4240,FOXC1
4241,FOXC2
4242,FOXD2
4243,FOXD3
4244,FOXD4
4245,FOXE1
4246,FOXE3
4247,FOXF1
4248,FOXF2
4249,FOXG1
4250,FOXH1
4251,FOXI1
4252,FOXJ1
4253,FOXJ3
4254,FOXK1
4255,FOXK2
4256,FOXL1
4257,FOXL2
4258,FOXM1
4259,FOXN1
4260,FOXN2
4261,FOXN3
4262,FOXN4
4263,FOXO1
4264,FOXO3
4265,FOXO4
4266,FOXP1
4267,FOXP2
4268,FOXP3
4269,FOXP4
4270,FOXQ1
4271,FOXR1
4272,FOXR2
4273,FOXRED1
4274,FOXRED2
4275,FOXS1
4276,FPGS
4277,FPR1
4278,FPR2
4279,FPR3
4280,FRA10AC1
4281,FRAS1
4282,FRAT1
4283,FRAT2
4284,FREM1
4285,FREM2
4286,FRG1
4287,FRK
4288,FRMD1
4289,FRMD3
4290,FRMD4A
4291,FRMD4B
4292,FRMD5
4293,FRMD6
4294,FRMD7
4295,FRMD8
4296,FRMPD1
4297,FRMPD4
4298,FRRS1
4299,FRS2
4300,FRS3
4301,FRY
4302,FRYL
4303,FRZB
4304,FSCB
4305,FSCN1
4306,FSCN2
4307,FSCN3
4308,FSD1
4309,FSD1L
4310,FSD2
4311,FSHB
4312,FSHR
4313,FSIP1
4314,FST
4315,FSTL1
4316,FSTL3
4317,FSTL4
4318,FSTL5
4319,FTCD
4320,FTH1
4321,FTHL17
4322,FTL
4323,FTO
4324,FTSJ1
4325,FTSJ3
4326,FUBP1
4327,FUBP3
4328,FUCA1
4329,FUCA2
4330,FUNDC1
4331,FUNDC2
4332,FURIN
4333,FUS
4334,FUT1
4335,FUT10
4336,FUT11
4337,FUT2
4338,FUT3
4339,FUT5
4340,FUT6
4341,FUT7
4342,FUT8
4343,FUT9
4344,FUZ
4345,FXN
4346,FXR1
4347,FXR2
4348,FXYD3
4349,FXYD4
4350,FXYD5
4351,FXYD7
4352,FYCO1
4353,FYN
4354,FYTTD1
4355,FZD1
4356,FZD10
4357,FZD2
4358,FZD3
4359,FZD4
4360,FZD5
4361,FZD6
4362,FZD7
4363,FZD8
4364,FZD9
4365,FZR1
4366,G0S2
4367,G2E3
4368,G3BP1
4369,G3BP2
4370,G6PC
4371,G6PC2
4372,G6PC3
4373,G6PD
4374,GAA
4375,GAB1
4376,GAB2
4377,GAB3
4378,GAB4
4379,GABARAPL1
4380,GABARAPL2
4381,GABBR1
4382,GABBR2
4383,GABPA
4384,GABPB1
4385,GABPB2
4386,GABRA1
4387,GABRA2
4388,GABRA3
4389,GABRA4
4390,GABRA5
4391,GABRA6
4392,GABRB1
4393,GABRB2
4394,GABRB3
4395,GABRD
4396,GABRE
4397,GABRG1
4398,GABRG3
4399,GABRP
4400,GABRR1
4401,GABRR2
4402,GABRR3
4403,GAD1
4404,GAD2
4405,GADD45A
4406,GADD45B
4407,GADD45G
4408,GADD45GIP1
4409,GADL1
4410,GAK
4411,GAL
4412,GAL3ST1
4413,GAL3ST2
4414,GAL3ST3
4415,GAL3ST4
4416,GALC
4417,GALE
4418,GALK1
4419,GALK2
4420,GALM
4421,GALNS
4422,GALNT1
4423,GALNT10
4424,GALNT11
4425,GALNT12
4426,GALNT13
4427,GALNT14
4428,GALNT2
4429,GALNT3
4430,GALNT5
4431,GALNT6
4432,GALNT7
4433,GALNT8
4434,GALNT9
4435,GALNTL5
4436,GALNTL6
4437,GALP
4438,GALR2
4439,GALR3
4440,GAMT
4441,GANAB
4442,GANC
4443,GAP43
4444,GAPDH
4445,GAPDHS
4446,GAPT
4447,GAPVD1
4448,GAR1
4449,GARNL3
4450,GART
4451,GAS1
4452,GAS2
4453,GAS2L1
4454,GAS2L3
4455,GAS7
4456,GAS8
4457,GAST
4458,GATA1
4459,GATA2
4460,GATA3
4461,GATA4
4462,GATA5
4463,GATA6
4464,GATAD1
4465,GATAD2A
4466,GATAD2B
4467,GATM
4468,GBA2
4469,GBA3
4470,GBE1
4471,GBF1
4472,GBP1
4473,GBP2
4474,GBP3
4475,GBP4
4476,GBP5
4477,GBP6
4478,GBX1
4479,GBX2
4480,GC
4481,GCA
4482,GCC1
4483,GCC2
4484,GCDH
4485,GCFC2
4486,GCG
4487,GCGR
4488,GCH1
4489,GCHFR
4490,GCK
4491,GCKR
4492,GCLC
4493,GCLM
4494,GCM1
4495,GCM2
4496,GCNT1
4497,GCNT3
4498,GCNT4
4499,GCNT7
4500,GDA
4501,GDAP1
4502,GDAP1L1
4503,GDAP2
4504,GDE1
4505,GDF11
4506,GDF15
4507,GDF3
4508,GDF5
4509,GDF9
4510,GDI1
4511,GDI2
4512,GDNF
4513,GDPD1
4514,GDPD3
4515,GDPD5
4516,GEM
4517,GEMIN2
4518,GEMIN4
4519,GEMIN5
4520,GEMIN6
4521,GEMIN7
4522,GEMIN8
4523,GEN1
4524,GFAP
4525,GFER
4526,GFI1
4527,GFI1B
4528,GFM1
4529,GFM2
4530,GFOD1
4531,GFOD2
4532,GFPT1
4533,GFPT2
4534,GFRA1
4535,GFRA2
4536,GFRA3
4537,GFRA4
4538,GGA1
4539,GGA2
4540,GGA3
4541,GGCT
4542,GGCX
4543,GGH
4544,GGN
4545,GGPS1
4546,GGT5
4547,GGT6
4548,GGT7
4549,GH2
4550,GHDC
4551,GHITM
4552,GHR
4553,GHRH
4554,GHRHR
4555,GHRL
4556,GHSR
4557,GIGYF1
4558,GIGYF2
4559,GIMAP1
4560,GIMAP2
4561,GIMAP4
4562,GIMAP5
4563,GIMAP6
4564,GIMAP7
4565,GIMAP8
4566,GIN1
4567,GINS1
4568,GINS2
4569,GINS4
4570,GIP
4571,GIPC1
4572,GIPC2
4573,GIPC3
4574,GIPR
4575,GIT1
4576,GIT2
4577,GJA1
4578,GJA10
4579,GJA3
4580,GJA4
4581,GJA8
4582,GJB1
4583,GJB2
4584,GJB3
4585,GJB4
4586,GJB5
4587,GJB6
4588,GJC1
4589,GJC2
4590,GJD2
4591,GJD3
4592,GJD4
4593,GK
4594,GK2
4595,GK5
4596,GKAP1
4597,GKN1
4598,GKN2
4599,GLA
4600,GLB1
4601,GLB1L
4602,GLB1L2
4603,GLB1L3
4604,GLCCI1
4605,GLCE
4606,GLDC
4607,GLDN
4608,GLE1
4609,GLG1
4610,GLI1
4611,GLI2
4612,GLI3
4613,GLIPR1
4614,GLIPR1L1
4615,GLIPR2
4616,GLIS1
4617,GLIS2
4618,GLIS3
4619,GLMN
4620,GLO1
4621,GLOD5
4622,GLP1R
4623,GLP2R
4624,GLRA1
4625,GLRA2
4626,GLRA3
4627,GLRB
4628,GLRX
4629,GLRX5
4630,GLS
4631,GLS2
4632,GLT1D1
4633,GLT8D1
4634,GLT8D2
4635,GLTP
4636,GLTPD2
4637,GLUD1
4638,GLUD2
4639,GLUL
4640,GLYAT
4641,GLYATL1
4642,GLYATL2
4643,GLYCTK
4644,GLYR1
4645,GM2A
4646,GMCL1
4647,GMDS
4648,GMEB1
4649,GMEB2
4650,GMFB
4651,GMFG
4652,GMIP
4653,GML
4654,GMNC
4655,GMNN
4656,GMPPA
4657,GMPR
4658,GMPR2
4659,GNA11
4660,GNA12
4661,GNA13
4662,GNA14
4663,GNA15
4664,GNAI1
4665,GNAI2
4666,GNAI3
4667,GNAL
4668,GNAO1
4669,GNAQ
4670,GNAS
4671,GNAT1
4672,GNAT2
4673,GNAT3
4674,GNAZ
4675,GNB1
4676,GNB1L
4677,GNB2
4678,GNB3
4679,GNB4
4680,GNB5
4681,GNE
4682,GNG11
4683,GNG12
4684,GNG13
4685,GNG2
4686,GNG3
4687,GNG4
4688,GNG5
4689,GNG7
4690,GNG8
4691,GNGT1
4692,GNGT2
4693,GNL1
4694,GNL2
4695,GNL3
4696,GNLY
4697,GNMT
4698,GNPAT
4699,GNPDA1
4700,GNPDA2
4701,GNPNAT1
4702,GNPTAB
4703,GNPTG
4704,GNRH1
4705,GNRH2
4706,GNRHR
4707,GNS
4708,GOLGA1
4709,GOLGA2
4710,GOLGA4
4711,GOLGA5
4712,GOLGA7
4713,GOLGA7B
4714,GOLGA8A
4715,GOLGB1
4716,GOLIM4
4717,GOLM1
4718,GOLPH3
4719,GOLPH3L
4720,GOLT1A
4721,GOLT1B
4722,GON4L
4723,GOPC
4724,GORAB
4725,GORASP1
4726,GORASP2
4727,GOSR1
4728,GOT1
4729,GOT1L1
4730,GOT2
4731,GP1BA
4732,GP2
4733,GP5
4734,GP6
4735,GP9
4736,GPA33
4737,GPAA1
4738,GPAM
4739,GPATCH1
4740,GPATCH2
4741,GPATCH3
4742,GPATCH4
4743,GPATCH8
4744,GPBAR1
4745,GPBP1
4746,GPBP1L1
4747,GPC1
4748,GPC2
4749,GPC3
4750,GPC4
4751,GPC5
4752,GPC6
4753,GPCPD1
4754,GPD1
4755,GPD1L
4756,GPD2
4757,GPHA2
4758,GPHN
4759,GPKOW
4760,GPLD1
4761,GPM6A
4762,GPN1
4763,GPN2
4764,GPN3
4765,GPNMB
4766,GPR1
4767,GPR101
4768,GPR107
4769,GPR108
4770,GPR12
4771,GPR132
4772,GPR135
4773,GPR137
4774,GPR137B
4775,GPR137C
4776,GPR143
4777,GPR146
4778,GPR15
4779,GPR150
4780,GPR153
4781,GPR155
4782,GPR156
4783,GPR157
4784,GPR158
4785,GPR160
4786,GPR161
4787,GPR162
4788,GPR17
4789,GPR171
4790,GPR173
4791,GPR174
4792,GPR176
4793,GPR18
4794,GPR180
4795,GPR182
4796,GPR183
4797,GPR19
4798,GPR20
4799,GPR22
4800,GPR25
4801,GPR26
4802,GPR27
4803,GPR3
4804,GPR31
4805,GPR32
4806,GPR34
4807,GPR35
4808,GPR37
4809,GPR37L1
4810,GPR39
4811,GPR45
4812,GPR50
4813,GPR55
4814,GPR6
4815,GPR61
4816,GPR62
4817,GPR63
4818,GPR65
4819,GPR68
4820,GPR78
4821,GPR82
4822,GPR83
4823,GPR84
4824,GPR85
4825,GPR87
4826,GPR88
4827,GPRASP2
4828,GPRC5A
4829,GPRC5B
4830,GPRC5C
4831,GPRC5D
4832,GPRC6A
4833,GPRIN1
4834,GPRIN2
4835,GPRIN3
4836,GPS1
4837,GPSM1
4838,GPSM2
4839,GPSM3
4840,GPT
4841,GPT2
4842,GPX1
4843,GPX2
4844,GPX3
4845,GPX4
4846,GPX5
4847,GPX7
4848,GPX8
4849,GRAMD1A
4850,GRAMD1B
4851,GRAMD1C
4852,GRAMD4
4853,GRAP
4854,GRAP2
4855,GRB10
4856,GRB14
4857,GRB2
4858,GRB7
4859,GREB1
4860,GREB1L
4861,GREM1
4862,GREM2
4863,GRHL1
4864,GRHL2
4865,GRHL3
4866,GRHPR
4867,GRIA1
4868,GRIA2
4869,GRIA3
4870,GRIA4
4871,GRID1
4872,GRID2
4873,GRIK1
4874,GRIK2
4875,GRIK3
4876,GRIK4
