,genes
888,ASMTL
889,ASNS
890,ASNSD1
891,ASPA
892,ASPDH
893,ASPG
894,ASPH
895,ASPHD1
896,ASPHD2
897,ASPM
898,ASPN
899,ASPRV1
900,ASPSCR1
901,ASRGL1
902,ASS1
903,ASTE1
904,ASTN1
905,ASTN2
906,ASXL1
907,ASXL2
908,ASXL3
909,ASZ1
910,ATAD1
911,ATAD2
912,ATAD2B
913,ATAD3A
914,ATAD3B
915,ATAD3C
916,ATAD5
917,ATAT1
918,ATCAY
919,ATE1
920,ATF1
921,ATF2
922,ATF3
923,ATF4
924,ATF5
925,ATF6
926,ATF6B
927,ATF7
928,ATF7IP
929,ATF7IP2
930,ATG10
931,ATG12
932,ATG14
933,ATG16L1
934,ATG16L2
935,ATG2A
936,ATG2B
937,ATG3
938,ATG4A
939,ATG4B
940,ATG4D
941,ATG5
942,ATG7
943,ATG9A
944,ATIC
945,ATL1
946,ATL2
947,ATL3
948,ATM
949,ATMIN
950,ATN1
951,ATOH1
952,ATOH7
953,ATOH8
954,ATOX1
955,ATP10A
956,ATP10B
957,ATP10D
958,ATP11A
959,ATP11B
960,ATP11C
961,ATP12A
962,ATP13A1
963,ATP13A2
964,ATP13A3
965,ATP13A4
966,ATP13A5
967,ATP1A1
968,ATP1A2
969,ATP1A3
970,ATP1A4
971,ATP1B1
972,ATP1B2
973,ATP1B3
974,ATP1B4
975,ATP2A1
976,ATP2A2
977,ATP2A3
978,ATP2B1
979,ATP2B2
980,ATP2B3
981,ATP2B4
982,ATP2C1
983,ATP2C2
984,ATP4A
985,ATP4B
986,ATP6AP1
987,ATP6AP1L
988,ATP6AP2
989,ATP6V0A1
990,ATP6V0A2
991,ATP6V0A4
992,ATP6V0B
993,ATP6V0D1
994,ATP6V0D2
995,ATP6V0E1
996,ATP6V1A
997,ATP6V1B1
998,ATP6V1B2
999,ATP6V1C1
1000,ATP6V1C2
1001,ATP6V1D
1002,ATP6V1E1
1003,ATP6V1E2
1004,ATP6V1G1
1005,ATP6V1G3
1006,ATP6V1H
1007,ATP7A
1008,ATP7B
1009,ATP8A1
1010,ATP8A2
1011,ATP8B1
1012,ATP8B2
1013,ATP8B3
1014,ATP8B4
1015,ATP9A
1016,ATP9B
1017,ATPAF1
1018,ATPAF2
1019,ATR
1020,ATRIP
1021,ATRN
1022,ATRNL1
1023,ATRX
1024,ATXN1
1025,ATXN10
1026,ATXN2
1027,ATXN2L
1028,ATXN3
1029,ATXN3L
1030,ATXN7
1031,ATXN7L1
1032,ATXN7L2
1033,ATXN7L3
1034,ATXN7L3B
1035,AUH
1036,AUP1
1037,AURKA
1038,AURKAIP1
1039,AURKB
1040,AURKC
1041,AUTS2
1042,AVEN
1043,AVIL
1044,AVL9
1045,AVP
1046,AVPI1
1047,AVPR1A
1048,AVPR1B
1049,AVPR2
1050,AWAT1
1051,AXDND1
1052,AXIN1
1053,AXIN2
1054,AXL
1055,AZGP1
1056,AZI2
1057,AZIN1
1058,AZU1
1059,B2M
1060,B3GALNT1
1061,B3GALNT2
1062,B3GALT1
1063,B3GALT2
1064,B3GALT6
1065,B3GAT1
1066,B3GAT2
1067,B3GAT3
1068,B3GNT2
1069,B3GNT3
1070,B3GNT4
1071,B3GNT5
1072,B3GNT6
1073,B3GNT7
1074,B3GNT8
1075,B3GNT9
1076,B3GNTL1
1077,B4GALNT1
1078,B4GALNT2
1079,B4GALNT3
1080,B4GALNT4
1081,B4GALT1
1082,B4GALT2
1083,B4GALT3
1084,B4GALT4
1085,B4GALT5
1086,B4GALT6
1087,B4GALT7
1088,B9D1
1089,B9D2
1090,BAAT
1091,BABAM1
1092,BACE1
1093,BACE2
1094,BACH1
1095,BACH2
1096,BAD
1097,BAG1
1098,BAG2
1099,BAG3
1100,BAG4
1101,BAG5
1102,BAG6
1103,BAHD1
1104,BAIAP2
1105,BAIAP2L1
1106,BAIAP2L2
1107,BAIAP3
1108,BAK1
1109,BAMBI
1110,BANF1
1111,BANF2
1112,BANK1
1113,BANP
1114,BAP1
1115,BARD1
1116,BARHL1
1117,BARX1
1118,BARX2
1119,BASP1
1120,BATF
1121,BATF2
1122,BATF3
1123,BAX
1124,BAZ1A
1125,BAZ1B
1126,BAZ2A
1127,BAZ2B
1128,BBC3
1129,BBOX1
1130,BBS10
1131,BBS12
1132,BBS2
1133,BBS4
1134,BBS7
1135,BBS9
1136,BBX
1137,BCAM
1138,BCAN
1139,BCAP29
1140,BCAP31
1141,BCAR1
1142,BCAR3
1143,BCAS1
1144,BCAS2
1145,BCAS3
1146,BCAS4
1147,BCAT1
1148,BCAT2
1149,BCCIP
1150,BCDIN3D
1151,BCHE
1152,BCKDHB
1153,BCKDK
1154,BCL10
1155,BCL11A
1156,BCL11B
1157,BCL2
1158,BCL2A1
1159,BCL2L1
1160,BCL2L10
1161,BCL2L11
1162,BCL2L12
1163,BCL2L13
1164,BCL2L14
1165,BCL2L15
1166,BCL3
1167,BCL6
1168,BCL6B
1169,BCL7B
1170,BCL7C
1171,BCL9
1172,BCL9L
1173,BCLAF1
1174,BCO2
1175,BCOR
1176,BCORL1
1177,BCR
1178,BCS1L
1179,BDH1
1180,BDH2
1181,BDKRB1
1182,BDNF
1183,BDP1
1184,BEAN1
1185,BECN1
1186,BEGAIN
1187,BEND2
1188,BEND3
1189,BEND4
1190,BEND6
1191,BEND7
1192,BEST1
1193,BEST2
1194,BEST3
